timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519294236351,142,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,142,0,0
1519294236495,154,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,154,0,42
1519294236650,151,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,151,0,33
1519294235726,1069,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,938,6,75
1519294236802,1746,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,120,0,51
1519294236802,1746,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,120,0,51
1519294238550,6606,511 /,200,OK,Thread Group 1-1,text,true,,74429,413,1,1,1022,0,50
1519294238549,6606,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,413,1,1,1022,2,50
1519294245158,227,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,78,0,40
1519294245386,153,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,153,0,32
1519294245540,162,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,162,0,37
1519294245703,119,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,119,0,0
1519294245823,121,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,121,0,0
1519294245945,149,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,149,0,0
1519294246095,114,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,114,0,0
1519294245157,1045,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,896,7,109
1519294246210,43852,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,9953,0,78
1519294246210,43852,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,9953,9,78
1519294290074,21847,511 /,200,OK,Thread Group 1-1,text,true,,74429,413,1,1,804,0,56
1519294290070,21847,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,413,1,1,804,5,56
1519294311924,241,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,90,0,48
1519294312167,184,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,183,0,41
1519294312352,185,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,185,0,68
1519294312539,111,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,111,0,0
1519294312652,115,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,115,0,0
1519294312768,109,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,109,0,0
1519294312878,119,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,118,0,0
1519294311923,1064,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,911,10,157
1519294312998,1552,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,917,0,51
1519294312997,1552,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,917,2,51
1519294314552,297,511 /,200,OK,Thread Group 1-1,text,true,,14246,413,1,1,129,0,55
1519294314551,297,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,413,1,1,129,2,55
1519294314851,219,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,69,0,31
1519294315071,150,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,150,0,40
1519294315222,154,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,154,0,32
1519294315377,118,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,118,0,0
1519294315496,113,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,113,0,0
1519294315611,125,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,125,0,0
1519294315737,123,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,123,0,0
1519294314851,1002,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,852,7,103
1519294315861,282,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,113,0,51
1519294315860,282,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,113,1,51
